county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Monterey,SAN ANTONIO UNION ELEMENTARY,9,41695,54168,71459,51436,San Antonio Union Elementary
Shasta,SHASTA UNION ELEMENTARY,9,36771,48443,60250,51325,Shasta Union Elementary
Inyo,ROUND VALLEY JOINT ELEMENTARY,9.29,34731,55866,82896,61653,Round Valley Joint Elementary
Nevada,CHICAGO PARK ELEMENTARY,9.57,39168,54160,71851,53060,Chicago Park Elementary
Alpine,ALPINE COUNTY UNIFIED,9.8,43800,61038,72543,55533,Alpine County Unified
Fresno,ALVINA ELEMENTARY,10,35360,44078,56380,42836,Alvina Elementary
Tulare,BUENA VISTA ELEMENTARY,10,41076,56496,68988,58038,Buena Vista Elementary
Tulare,DUCOR UNION ELEMENTARY,10,39868,51810,69649,55068,Ducor Union Elementary
Kern,ELK HILLS ELEMENTARY,10,42903,51936,71887,55921,Elk Hills Elementary
Tulare,HOPE ELEMENTARY,10,42185,52417,77867,59247,Hope Elementary
Lassen,WESTWOOD UNIFIED,10,38651,51923,67682,54261,Westwood Unified
Trinity,DOUGLAS CITY ELEMENTARY,10.41,35026,52394,62678,54835,Douglas City Elementary
Lassen,JOHNSTONVILLE ELEMENTARY,10.49,34577,51116,71501,53164,Johnstonville Elementary
Trinity,SOUTHERN TRINITY JOINT UNIFIED,10.5,30977,54985,64220,54547,Southern Trinity Joint Unified
Marin,BOLINAS-STINSON UNION ELEMENTARY,10.55,51163,81153,100233,76104,Bolinas-Stinson Union Elementary
Humboldt,BLUE LAKE UNION ELEMENTARY,10.6,39619,56446,65768,56655,Blue Lake Union Elementary
San Joaquin,NEW JERUSALEM ELEMENTARY,10.97,42885,58398,76417,62429,New Jerusalem Elementary
Sutter,MARCUM-ILLINOIS UNION ELEMENTARY,11,38255,46594,70601,47865,Marcum-Illinois Union Elementary
Kern,SOUTH FORK UNION ELEMENTARY,11,39484,62161,69443,56503,South Fork Union Elementary
Santa Barbara,VISTA DEL MAR UNION ELEMENTARY,11.1,44797,71997,86148,66047,Vista Del Mar Union Elementary
Mono,MONO COUNTY OFFICE OF ED.,11.41,38515,63369,82296,64207,Mono County Office Of Ed.
San Diego,JULIAN UNION HIGH,11.5,49730,85966,95333,79536,Julian Union High
Tulare,TRAVER JOINT ELEMENTARY,11.5,45171,62015,75445,59945,Traver Joint Elementary
Modoc,SURPRISE VALLEY JOINT UNIFIED,11.57,35700,45421,55749,47114,Surprise Valley Joint Unified
Shasta,BLACK BUTTE UNION ELEMENTARY,11.6,39205,58629,67890,53546,Black Butte Union Elementary
Fresno,CLAY JOINT ELEMENTARY,12,42822,65105,67754,62044,Clay Joint Elementary
Mendocino,LEGGETT VALLEY UNIFIED,12,38042,49375,63041,49375,Leggett Valley Unified
Modoc,MODOC COUNTY OFFICE OF ED.,12,35834,54588,77841,57643,Modoc County Office Of Ed.
Tulare,WAUKENA JOINT UNION ELEMENTARY,12,42000,47830,63676,51198,Waukena Joint Union Elementary
Fresno,WESTSIDE ELEMENTARY,12,34507,54674,62953,52457,Westside Elementary
Sonoma,WILMAR UNION ELEMENTARY,12,46644,60238,76385,60799,Wilmar Union Elementary
Humboldt,SCOTIA UNION ELEMENTARY,12.2,34000,58288,61236,52812,Scotia Union Elementary
Tehama,RICHFIELD ELEMENTARY,12.9,39555,57389,72132,52172,Richfield Elementary
Lassen,BIG VALLEY JOINT UNIFIED,13,32677,47433,66351,49372,Big Valley Joint Unified
Tulare,SEQUOIA UNION ELEMENTARY,13,42385,59433,71091,56484,Sequoia Union Elementary
Lassen,FORT SAGE UNIFIED,13.34,29640,47051,64215,49156,Fort Sage Unified
Ventura,SOMIS UNION ELEMENTARY,13.5,41916,63118,78014,65775,Somis Union Elementary
Nevada,NEVADA COUNTY OFFICE OF ED.,13.9,45456,64240,80980,61771,Nevada County Office Of Ed.
San Joaquin,NEW HOPE ELEMENTARY,13.9,35569,51362,71801,52381,New Hope Elementary
Lassen,JANESVILLE UNION ELEMENTARY,14,32082,69545,81520,55511,Janesville Union Elementary
Fresno,RAISIN CITY ELEMENTARY,14,39355,51363,69942,54979,Raisin City Elementary
Inyo,BIG PINE UNIFIED,14.53,37248,62696,79787,62737,Big Pine Unified
Sacramento,ELVERTA JOINT ELEMENTARY,14.71,41770,57771,75181,57817,Elverta Joint Elementary
Siskiyou,WEED UNION ELEMENTARY,14.75,41665,53172,65890,55655,Weed Union Elementary
Lake,LUCERNE ELEMENTARY,15,41720,55741,70211,59381,Lucerne Elementary
