county,county,school_district,full_time_employees,average_salary,step_10
56,Ventura County,SIMI VALLEY UNIFIED,782.6,68764,66135
49,Sonoma County,SANTA ROSA CITY SCHOOLS,790.7,70046,65943
15,Kern County,KERN UNION HIGH,1648,72199,65721
7,Contra Costa County,MT. DIABLO UNIFIED,1564.28,67920,65474
15,Kern County,BAKERSFIELD CITY ELEMENTARY,1622,65456,65296
48,Solano County,FAIRFIELD-SUISUN UNIFIED,985.48,64876,64904
37,San Diego County,SAN DIEGO CITY UNIFIED,5633.33,73582,64780
54,Tulare County,VISALIA UNIFIED,1206.31,67321,64706
56,Ventura County,VENTURA UNIFIED,781.41,68275,64259
15,Kern County,PANAMA-BUENA VISTA UN ELEMENTARY,780.73,67421,64251
39,San Joaquin County,STOCKTON CITY UNIFIED,1680,65674,64239
34,Sacramento County,FOLSOM-CORDOVA UNIFIED,881.06,73348,64088
51,Sutter County,YUBA CITY UNIFIED,719.47,64165,64057
20,Madera County,MADERA UNIFIED,952.88,65616,63832
39,San Joaquin County,TRACY JOINT UNIFIED,712.8,68082,63770
34,Sacramento County,ELK GROVE UNIFIED,3141.96,73322,62389
10,Fresno County,CENTRAL UNIFIED,710.19,67520,61731
39,San Joaquin County,LODI UNIFIED,1434.88,67015,61457
10,Fresno County,CLOVIS UNIFIED,1627.27,67972,60742
19,Los Angeles County,PASADENA UNIFIED,780,69578,60566
44,Santa Cruz County,PAJARO VALLEY JOINT UNIFIED,1012.97,60690,60104
7,Contra Costa County,WEST CONTRA COSTA UNIFIED,1393.06,59503,59640
1,Alameda County,OAKLAND UNIFIED,1903.96,58033,58516
48,Solano County,VALLEJO CITY UNIFIED,604.9,61264,57812
4,Butte County,CHICO UNIFIED,643.63,64053,55362
34,Sacramento County,TWIN RIVERS UNIFIED,1095.25,71399,54748
34,Sacramento County,SACRAMENTO CITY UNIFIED,2110.2,67009,53467
