county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Kings,ARMONA UNION ELEMENTARY,46,"44,691","67,170","77,547","63,919",Armona Union Elementary
Santa Clara,ORCHARD ELEMENTARY,46,"44,422","67,937","89,818","75,780",Orchard Elementary
Madera,CHOWCHILLA UNION HIGH,46.42,"41,136","58,423","78,124","57,930",Chowchilla Union High
Santa Barbara,HOPE ELEMENTARY,46.9,"42,920","78,527","94,835","75,286",Hope Elementary
Tulare,TERRA BELLA UNION ELEMENTARY,48,"46,266","67,739","80,614","67,138",Terra Bella Union Elementary
San Luis Obispo,COAST UNIFIED,49,"44,952","70,064","82,410","67,427",Coast Unified
Modoc,MODOC JOINT UNIFIED,49,"37,614","52,670","72,230","51,328",Modoc Joint Unified
Sonoma,BENNETT VALLEY UNION ELEMENTARY,50.3,"45,369","63,087","83,573","60,262",Bennett Valley Union Elementary
El Dorado,MOTHER LODE UNION ELEMENTARY,50.6,"34,608","62,322","70,298","51,606",Mother Lode Union Elementary
Kern,RIO BRAVO-GREELEY UN ELEMENTARY,50.84,"40,669","62,183","70,827","61,778",Rio Bravo-Greeley Un Elementary
Yolo,ESPARTO UNIFIED,51.02,"45,285","64,309","84,080","62,060",Esparto Unified
Stanislaus,HICKMAN ELEMENTARY,51.13,"46,719","72,685","88,502","64,520",Hickman Elementary
Santa Barbara,SANTA YNEZ VALLEY UNION HIGH,51.3,"45,212","73,818","88,497","69,633",Santa Ynez Valley Union High
Napa,CALISTOGA JOINT UNIFIED,51.5,"58,157","89,375","108,215","87,815",Calistoga Joint Unified
Siskiyou,YREKA UNION ELEMENTARY,52,"41,178","57,634","69,518","58,063",Yreka Union Elementary
Kern,EDISON ELEMENTARY,53,"42,031","59,288","76,010","59,552",Edison Elementary
Butte,DURHAM UNIFIED,53.29,"39,130","65,490","79,893","53,871",Durham Unified
Stanislaus,HART-RANSOM UNION ELEMENTARY,53.51,"44,739","68,673","89,878","67,734",Hart-Ransom Union Elementary
Tehama,EVERGREEN UNION ELEMENTARY,54.03,"45,484","65,926","84,143","67,160",Evergreen Union Elementary
Humboldt,FORTUNA UNION HIGH,54.2,"38,427","61,991","72,828","58,408",Fortuna Union High
Fresno,KINGSBURG JOINT UNION HIGH,54.63,"46,545","75,201","90,916","68,540",Kingsburg Joint Union High
Tulare,PIXLEY UNION ELEMENTARY,56,"49,172","64,438","82,332","65,785",Pixley Union Elementary
Sutter,SUTTER COUNTY OFFICE OF ED.,56.2,"34,849","66,208","85,629","61,407",Sutter County Office Of Ed.
Stanislaus,DENAIR UNIFIED,56.34,"32,461","62,672","75,040","54,973",Denair Unified
San Benito,AROMAS/SAN JUAN UNIFIED,56.4,"42,655","66,116","89,433","62,933",Aromas/San Juan Unified
Sonoma,PINER-OLIVET UNION ELEMENTARY,56.43,"46,378","72,353","91,856","64,712",Piner-Olivet Union Elementary
Imperial,SAN PASQUAL VALLEY UNIFIED,56.5,"42,321","66,219","77,591","62,406",San Pasqual Valley Unified
Los Angeles,WILSONA ELEMENTARY,57,"36,830","67,224","77,563","60,764",Wilsona Elementary
Tuolumne,SONORA UNION HIGH,57.11,"38,635","66,550","83,472","67,418",Sonora Union High
El Dorado,EL DORADO COUNTY OFFICE OF ED.,57.2,"44,292","69,082","90,293","63,779",El Dorado County Office Of Ed.
El Dorado,BLACK OAK MINE UNIFIED,57.8,"38,930","57,977","72,134","46,289",Black Oak Mine Unified
Yuba,YUBA COUNTY OFFICE OF ED.,58,"43,974","56,374","76,169","59,054",Yuba County Office Of Ed.
Imperial,MCCABE UNION ELEMENTARY,59,"40,697","66,299","83,578","67,836",Mccabe Union Elementary
Nevada,PLEASANT RIDGE UNION ELEMENTARY,60.28,"41,558","73,141","82,566","66,550",Pleasant Ridge Union Elementary
San Diego,RANCHO SANTA FE ELEMENTARY,60.69,"47,283","71,594","95,367","73,729",Rancho Santa Fe Elementary
Yuba,PLUMAS ELEMENTARY,62.67,"41,819","54,930","83,271","58,650",Plumas Elementary
Sonoma,TWIN HILLS UNION ELEMENTARY,62.86,"40,753","57,614","74,964","57,520",Twin Hills Union Elementary
El Dorado,PLACERVILLE UNION ELEMENTARY,63.5,"42,629","65,335","77,729","57,242",Placerville Union Elementary
Kings,KINGS COUNTY OFFICE OF ED.,64,"40,501","60,745","73,177","60,852",Kings County Office Of Ed.
Kings,PIONEER UNION ELEMENTARY,64,"40,370","68,298","77,199","68,683",Pioneer Union Elementary
Colusa,WILLIAMS UNIFIED,64.57,"44,979","66,228","90,043","64,129",Williams Unified
Glenn,WILLOWS UNIFIED,64.62,"56,860","81,211","96,467","75,360",Willows Unified
Yuba,WHEATLAND ELEMENTARY,65,"40,650","75,277","86,877","73,661",Wheatland Elementary
Imperial,HEBER ELEMENTARY,65.65,"41,751","66,585","85,363","69,458",Heber Elementary
Butte,PALERMO UNION ELEMENTARY,65.76,"44,307","66,279","85,080","61,576",Palermo Union Elementary
Imperial,CALIPATRIA UNIFIED,68,"41,544","64,378","82,047","67,093",Calipatria Unified
Sonoma,CLOVERDALE UNIFIED,69,"42,687","64,400","76,999","61,823",Cloverdale Unified
Imperial,IMPERIAL COUNTY OFFICE OF ED.,69,"40,837","61,101","85,055","67,281",Imperial County Office Of Ed.
Mono,MAMMOTH UNIFIED,69.09,"44,780","69,821","89,634","68,901",Mammoth Unified
Butte,THERMALITO UNION ELEMENTARY,69.3,"48,383","74,097","91,589","67,711",Thermalito Union Elementary
Colusa,PIERCE JOINT UNIFIED,70.5,"46,471","64,860","83,195","62,154",Pierce Joint Unified
Los Angeles,HERMOSA BEACH CITY ELEMENTARY,72,"46,680","76,351","88,338","78,343",Hermosa Beach City Elementary
Kern,TAFT UNION HIGH,72,"49,096","88,975","108,713","78,284",Taft Union High
Colusa,COLUSA UNIFIED,72.9,"45,371","64,908","84,540","59,165",Colusa Unified
Yolo,WINTERS JOINT UNIFIED,72.95,"41,341","67,111","80,796","57,357",Winters Joint Unified
Santa Cruz,SANTA CRUZ COUNTY OFFICE OF ED.,73.58,"37,803","63,365","78,944","59,019",Santa Cruz County Office Of Ed.
Imperial,BRAWLEY UNION HIGH,73.6,"47,866","86,650","109,496","82,570",Brawley Union High
Fresno,SIERRA UNIFIED,73.93,"38,792","64,739","74,673","60,192",Sierra Unified
Humboldt,FORTUNA ELEMENTARY,73.95,"35,690","57,848","65,633","57,474",Fortuna Elementary
Sonoma,MARK WEST UNION ELEMENTARY,73.98,"43,920","66,761","82,003","63,770",Mark West Union Elementary
Monterey,SOUTH MONTEREY JOINT UNION HIGH,74,"33,896","73,648","102,188","69,392",South Monterey Joint Union High
Nevada,GRASS VALLEY ELEMENTARY,75.1,"44,868","63,501","76,831","61,210",Grass Valley Elementary
Humboldt,KLAMATH-TRINITY JOINT UNIFIED,75.77,"40,119","59,551","72,116","59,388",Klamath-Trinity Joint Unified
Shasta,FALL RIVER JOINT UNIFIED,76,"38,483","51,757","71,945","53,112",Fall River Joint Unified
Lake,MIDDLETOWN UNIFIED,76.44,"40,286","60,924","68,243","56,106",Middletown Unified
Fresno,CARUTHERS UNIFIED,76.86,"40,299","59,122","73,067","59,027",Caruthers Unified
Sonoma,OLD ADOBE UNION ELEMENTARY,77.1,"43,160","69,695","75,402","67,686",Old Adobe Union Elementary
Contra Costa,BYRON UNION ELEMENTARY,78,"42,899","71,791","83,378","72,301",Byron Union Elementary
Merced,GUSTINE UNIFIED,79,"40,506","64,952","80,671","65,406",Gustine Unified
Placer,PLACER COUNTY OFFICE OF ED.,79.61,"39,222","71,416","89,310","67,086",Placer County Office Of Ed.
Stanislaus,WATERFORD UNIFIED,80,"44,334","69,029","86,605","66,536",Waterford Unified
Fresno,RIVERDALE JOINT UNIFIED,80.12,"43,025","62,923","76,275","60,981",Riverdale Joint Unified
Marin,KENTFIELD ELEMENTARY,80.3,"50,660","79,763","90,855","78,107",Kentfield Elementary
Kern,BEARDSLEY ELEMENTARY,80.7,"42,040","58,674","80,631","55,469",Beardsley Elementary
Kern,WASCO UNION HIGH,83,"45,742","66,564","85,435","67,913",Wasco Union High
Sonoma,WRIGHT ELEMENTARY,83.77,"40,091","61,714","77,485","62,670",Wright Elementary
Humboldt,HUMBOLDT COUNTY OFFICE OF ED.,84.57,"40,167","57,170","67,406","53,781",Humboldt County Office Of Ed.
Lake,LAKEPORT UNIFIED,85.71,"35,149","58,975","70,831","58,226",Lakeport Unified
Madera,YOSEMITE UNIFIED,86.24,"41,624","65,483","77,597","57,185",Yosemite Unified
Tehama,RED BLUFF UNION HIGH,87,"39,181","71,455","82,546","63,722",Red Bluff Union High
Mariposa,MARIPOSA COUNTY UNIFIED,87.75,"36,454","60,945","69,787","56,205",Mariposa County Unified
Imperial,HOLTVILLE UNIFIED,88,"46,703","69,856","87,783","68,889",Holtville Unified
Marin,LARKSPUR-CORTE MADERA,88.1,"50,670","81,057","93,083","75,882",Larkspur-Corte Madera
San Diego,ALPINE UNION ELEMENTARY,88.76,"37,521","68,941","83,149","57,697",Alpine Union Elementary
Sutter,LIVE OAK UNIFIED,89.33,"42,003","65,672","84,032","59,464",Live Oak Unified
Contra Costa,JOHN SWETT UNIFIED,89.6,"39,170","60,801","77,495","58,700",John Swett Unified
Marin,REED UNION ELEMENTARY,89.76,"50,069","81,909","93,392","78,137",Reed Union Elementary
Merced,WINTON ELEMENTARY,90,"41,725","69,145","85,912","61,270",Winton Elementary
Shasta,ANDERSON UNION HIGH,90.4,"38,342","65,482","80,372","59,950",Anderson Union High
Lake,KELSEYVILLE UNIFIED,90.5,"23,194","58,245","74,741","58,210",Kelseyville Unified
Kern,MUROC JOINT UNIFIED,91,"34,786","61,799","82,075","61,921",Muroc Joint Unified
Sonoma,HEALDSBURG UNIFIED,91.7,"43,988","65,585","80,340","58,853",Healdsburg Unified
Fresno,GOLDEN PLAINS UNIFIED,92,"38,705","59,699","78,748","59,889",Golden Plains Unified
San Mateo,LAS LOMITAS ELEMENTARY,92.5,"54,177","94,104","109,004","85,166",Las Lomitas Elementary
Sonoma,BELLEVUE UNION ELEMENTARY,92.55,"45,312","66,953","89,521","64,279",Bellevue Union Elementary
Tulare,EARLIMART ELEMENTARY,95,"48,963","65,225","88,063","66,890",Earlimart Elementary
Madera,GOLDEN VALLEY UNIFIED,97,"36,515","58,465","69,802","55,145",Golden Valley Unified
Napa,ST. HELENA UNIFIED,97.2,"61,224","106,540","126,406","88,311",St. Helena Unified
Riverside,NUVIEW UNION ELEMENTARY,98,"48,360","72,074","97,991","73,072",Nuview Union Elementary
Santa Cruz,SOQUEL ELEMENTARY,98.45,"34,940","64,987","80,013","59,747",Soquel Elementary
Kings,CENTRAL UNION ELEMENTARY,99,"47,395","77,932","91,980","74,251",Central Union Elementary
Mendocino,WILLITS UNIFIED,99,"37,123","55,051","78,901","54,975",Willits Unified
Contra Costa,MORAGA ELEMENTARY,100.39,"48,316","68,567","82,133","65,051",Moraga Elementary
Madera,MADERA COUNTY OFFICE OF ED.,100.45,"39,948","64,850","75,456","62,130",Madera County Office Of Ed.
Tehama,CORNING UNION ELEMENTARY,100.7,"42,837","60,708","82,595","55,780",Corning Union Elementary
Madera,CHOWCHILLA ELEMENTARY,100.79,"42,219","65,171","82,987","64,079",Chowchilla Elementary
Contra Costa,CONTRA COSTA CO OFFICE OF ED.,101.86,"46,227","70,112","91,370","69,691",Contra Costa Co Office Of Ed.
San Bernardino,MOUNTAIN VIEW ELEMENTARY,102,"44,962","82,986","88,995","75,224",Mountain View Elementary
Santa Cruz,LIVE OAK ELEMENTARY,102.05,"43,077","63,242","76,667","57,098",Live Oak Elementary
San Joaquin,LINDEN UNIFIED,104,"40,761","65,134","79,676","62,851",Linden Unified
Kern,TAFT CITY ELEMENTARY,105,"40,000","58,434","78,553","58,148",Taft City Elementary
Stanislaus,SALIDA UNION ELEMENTARY,105.34,"44,553","76,473","86,429","67,830",Salida Union Elementary
Stanislaus,HUGHSON UNIFIED,105.7,"42,983","73,996","93,238","65,706",Hughson Unified
Inyo,BISHOP UNIFIED,106.45,"38,548","70,744","87,361","65,623",Bishop Unified
Ventura,VENTURA COUNTY OFFICE OF ED.,106.75,"45,191","69,328","82,959","69,408",Ventura County Office Of Ed.
San Mateo,SAN MATEO COUNTY OFFICE OF ED.,107.07,"40,760","85,605","97,420","77,589",San Mateo County Office Of Ed.
Sacramento,RIVER DELTA JOINT UNIFIED,107.32,"41,429","53,189","73,787","55,812",River Delta Joint Unified
San Bernardino,BEAR VALLEY UNIFIED,108,"41,961","70,227","85,016","66,811",Bear Valley Unified
San Diego,MOUNTAIN EMPIRE UNIFIED,108,"33,345","54,359","80,674","52,583",Mountain Empire Unified
Butte,OROVILLE UNION HIGH,108,"42,804","68,194","84,273","61,825",Oroville Union High
Placer,AUBURN UNION ELEMENTARY,108.5,"43,424","60,812","76,054","61,333",Auburn Union Elementary
Marin,DIXIE ELEMENTARY,108.82,"51,444","77,668","98,619","71,771",Dixie Elementary
Tulare,WOODLAKE UNIFIED,108.82,"43,308","60,702","83,989","63,222",Woodlake Unified
Sonoma,SONOMA COUNTY OFFICE OF ED.,108.98,"42,892","68,835","79,210","63,366",Sonoma County Office Of Ed.
Glenn,ORLAND JOINT UNIFIED,109,"42,208","60,669","78,073","57,315",Orland Joint Unified
Plumas,PLUMAS UNIFIED,109.27,"35,356","58,279","79,048","55,766",Plumas Unified
Orange,SAVANNA ELEMENTARY,110,"48,002","81,926","106,043","86,493",Savanna Elementary
Sonoma,WEST SONOMA COUNTY UNION HIGH,110.49,"41,889","63,813","75,654","59,622",West Sonoma County Union High
Fresno,KINGSBURG JOINT UNION ELEMENTARY,111.34,"42,778","61,713","85,480","56,516",Kingsburg Joint Union Elementary
Merced,DOS PALOS-ORO LOMA JOINT UNIFIED,112,"41,223","68,395","84,592","62,451",Dos Palos-Oro Loma Joint Unified
Tehama,RED BLUFF UNION ELEMENTARY,112,"41,202","61,159","76,770","55,660",Red Bluff Union Elementary
Sacramento,GALT JOINT UNION HIGH,112.4,"34,854","71,808","91,263","68,846",Galt Joint Union High
Merced,LIVINGSTON UNION ELEMENTARY,112.5,"49,570","75,774","90,040","67,495",Livingston Union Elementary
Stanislaus,RIVERBANK UNIFIED,113.4,"43,317","66,669","82,182","64,644",Riverbank Unified
Kings,LEMOORE UNION HIGH,113.59,"44,734","66,497","90,860","63,907",Lemoore Union High
San Joaquin,JEFFERSON ELEMENTARY,114.34,"39,720","65,695","78,022","63,740",Jefferson Elementary
San Diego,FALLBROOK UNION HIGH,114.6,"38,905","74,916","93,722","73,788",Fallbrook Union High
Placer,LOOMIS UNION ELEMENTARY,114.83,"40,620","65,347","84,995","61,040",Loomis Union Elementary
Ventura,OJAI UNIFIED,114.92,"38,777","61,028","73,153","59,355",Ojai Unified
Fresno,FIREBAUGH-LAS DELTAS UNIFIED,115,"35,625","58,219","80,164","59,108",Firebaugh-Las Deltas Unified
Sacramento,ROBLA ELEMENTARY,115.3,"43,124","69,252","83,578","69,039",Robla Elementary
Merced,HILMAR UNIFIED,115.6,"45,779","66,520","82,309","62,525",Hilmar Unified
Butte,GRIDLEY UNIFIED,115.82,"38,263","66,036","86,723","60,671",Gridley Unified
San Mateo,HILLSBOROUGH CITY ELEMENTARY,115.87,"55,860","94,811","124,184","93,601",Hillsborough City Elementary
Monterey,PACIFIC GROVE UNIFIED,118.76,"50,536","88,874","109,894","83,746",Pacific Grove Unified
Kern,FAIRFAX ELEMENTARY,119,"42,250","62,578","89,066","63,014",Fairfax Elementary
Kern,MOJAVE UNIFIED,119.5,"40,607","67,888","91,966","66,637",Mojave Unified
Monterey,GONZALES UNIFIED,119.67,"40,559","68,833","96,275","67,316",Gonzales Unified
San Mateo,MILLBRAE ELEMENTARY,119.8,"38,377","69,942","90,651","70,374",Millbrae Elementary
Mendocino,FORT BRAGG UNIFIED,120.41,"40,400","53,037","70,400","50,400",Fort Bragg Unified
Fresno,FOWLER UNIFIED,120.43,"44,372","63,425","77,339","62,324",Fowler Unified
San Benito,SAN BENITO HIGH,120.8,"49,048","72,042","90,989","71,252",San Benito High
Los Angeles,WISEBURN UNIFIED,120.8,"47,739","77,823","94,694","78,639",Wiseburn Unified
Santa Clara,SARATOGA UNION ELEMENTARY,120.84,"54,767","89,192","106,145","83,726",Saratoga Union Elementary
Monterey,GREENFIELD UNION ELEMENTARY,121,"41,617","61,814","92,471","58,731",Greenfield Union Elementary
Santa Barbara,SANTA BARBARA CO. OFFICE OF ED.,121.05,"42,488","75,067","83,059","71,947",Santa Barbara Co. Office Of Ed.
San Diego,BONSALL UNIFIED,121.3,"40,019","65,328","89,833","64,877",Bonsall Unified
Los Angeles,ROSEMEAD ELEMENTARY,122,"42,883","82,229","94,357","77,800",Rosemead Elementary
Los Angeles,KEPPEL ELEMENTARY,123,"39,751","70,652","85,759","71,645",Keppel Elementary
Butte,BUTTE COUNTY OFFICE OF ED.,123.35,"36,243","61,169","73,015","55,315",Butte County Office Of Ed.
San Bernardino,CUCAMONGA ELEMENTARY,125.5,"46,222","77,098","92,375","73,000",Cucamonga Elementary
Ventura,OCEAN VIEW ELEMENTARY,126,"46,378","70,357","90,671","71,774",Ocean View Elementary
San Joaquin,ESCALON UNIFIED,126.74,"40,545","68,198","84,355","62,269",Escalon Unified
San Mateo,SAN BRUNO PARK ELEMENTARY,127.55,"39,338","65,425","79,200","68,597",San Bruno Park Elementary
Riverside,PALO VERDE UNIFIED,128,"46,966","72,198","94,852","73,544",Palo Verde Unified
Sonoma,ROSELAND ELEMENTARY,129.01,"45,584","59,351","80,140","64,413",Roseland Elementary
San Luis Obispo,TEMPLETON UNIFIED,129.3,"37,740","63,812","77,640","61,724",Templeton Unified
Los Angeles,LOWELL JOINT ELEMENTARY,129.4,"41,960","81,702","94,615","80,921",Lowell Joint Elementary
Butte,OROVILLE CITY ELEMENTARY,130.06,"44,029","73,509","85,873","71,089",Oroville City Elementary
Tulare,FARMERSVILLE UNIFIED,131,"43,559","67,536","79,181","65,568",Farmersville Unified
Santa Clara,MT. PLEASANT ELEMENTARY,131,"50,570","67,406","97,937","69,977",Mt. Pleasant Elementary
Los Angeles,SOUTH WHITTIER ELEMENTARY,132,"42,454","74,117","84,350","66,858",South Whittier Elementary
Tulare,EXETER UNIFIED,132.25,"44,684","66,293","80,285","63,241",Exeter Unified
Stanislaus,EMPIRE UNION ELEMENTARY,132.73,"43,347","71,291","88,533","68,887",Empire Union Elementary
Fresno,FRESNO COUNTY OFFICE OF ED.,133.2,"43,080","67,198","75,464","61,101",Fresno County Office Of Ed.
Sacramento,SACRAMENTO COUNTY OFFICE OF ED.,133.63,"48,070","74,837","84,286","69,283",Sacramento County Office Of Ed.
Marin,ROSS VALLEY ELEMENTARY,134.87,"50,393","69,728","88,050","72,536",Ross Valley Elementary
Santa Cruz,SAN LORENZO VALLEY UNIFIED,135.1,"35,675","65,676","84,132","61,120",San Lorenzo Valley Unified
Monterey,MONTEREY COUNTY OFFICE OF ED.,135.9,"45,210","72,639","86,206","69,389",Monterey County Office Of Ed.
Merced,DELHI UNIFIED,136,"48,753","72,049","92,895","66,398",Delhi Unified
Monterey,SANTA RITA UNION ELEMENTARY,136,"38,234","67,311","82,860","66,361",Santa Rita Union Elementary
Merced,MERCED COUNTY OFFICE OF ED.,136.21,"41,109","62,404","81,392","62,302",Merced County Office Of Ed.
Stanislaus,NEWMAN-CROWS LANDING UNIFIED,136.4,"45,863","69,078","87,336","69,512",Newman-Crows Landing Unified
Shasta,GATEWAY UNIFIED,136.63,"33,486","59,860","74,270","56,402",Gateway Unified
Contra Costa,ORINDA UNION ELEMENTARY,136.65,"32,635","70,483","86,349","65,568",Orinda Union Elementary
Kings,REEF-SUNSET UNIFIED,137,"41,715","63,206","81,748","61,816",Reef-Sunset Unified
Kern,LAMONT ELEMENTARY,138,"44,462","65,721","80,298","67,252",Lamont Elementary
Fresno,MENDOTA UNIFIED,138,"41,076","60,776","73,789","64,660",Mendota Unified
Kern,STANDARD ELEMENTARY,138,"43,796","68,067","82,324","64,250",Standard Elementary
Los Angeles,CASTAIC UNION ELEMENTARY,138.11,"39,352","71,565","78,313","63,776",Castaic Union Elementary
San Joaquin,RIPON UNIFIED,138.64,"42,585","67,994","83,119","61,525",Ripon Unified
Stanislaus,STANISLAUS COUNTY OFFICE OF ED.,139.31,"39,623","74,325","96,023","68,644",Stanislaus County Office Of Ed.
Monterey,KING CITY UNION ELEMENTARY,142.2,"36,389","62,323","85,988","61,104",King City Union Elementary
Merced,WEAVER UNION ELEMENTARY,144.5,"53,635","76,330","91,862","71,823",Weaver Union Elementary
San Bernardino,SILVER VALLEY UNIFIED,145,"44,344","64,917","91,680","67,560",Silver Valley Unified
Calaveras,CALAVERAS UNIFIED,145.45,"41,100","65,865","82,199","57,081",Calaveras Unified
San Mateo,RAVENSWOOD CITY ELEMENTARY,146,"45,432","65,591","84,878","66,801",Ravenswood City Elementary
Kings,LEMOORE UNION ELEMENTARY,147,"41,090","65,257","90,979","62,587",Lemoore Union Elementary
Nevada,NEVADA JOINT UNION HIGH,147.6,"43,650","67,184","82,693","64,739",Nevada Joint Union High
Orange,LAGUNA BEACH UNIFIED,147.98,"52,329","96,878","117,968","88,066",Laguna Beach Unified
Riverside,ROMOLAND ELEMENTARY,148,"46,687","79,667","95,726","79,975",Romoland Elementary
Stanislaus,STANISLAUS UNION ELEMENTARY,148.5,"47,770","72,212","86,946","73,006",Stanislaus Union Elementary
San Mateo,PACIFICA SCHOOL DISTRICT,148.72,"37,944","61,513","77,963","60,346",Pacifica School District
Kern,ARVIN UNION ELEMENTARY,151,"44,352","69,546","81,942","67,390",Arvin Union Elementary
Fresno,WASHINGTON UNIFIED,152,"42,468","59,970","79,979","60,961",Washington Unified
Kern,FRUITVALE ELEMENTARY,152.59,"40,000","68,247","82,240","65,719",Fruitvale Elementary
Santa Clara,CAMBRIAN ELEMENTARY,152.6,"55,159","80,119","96,660","77,310",Cambrian Elementary
Placer,EUREKA UNION ELEMENTARY,153.36,"41,183","75,015","84,282","65,935",Eureka Union Elementary
Lake,KONOCTI UNIFIED,155,"41,714","55,613","74,347","59,303",Konocti Unified
Kings,HANFORD JOINT UNION HIGH,155.5,"44,391","70,463","88,368","67,605",Hanford Joint Union High
Los Angeles,EASTSIDE ELEMENTARY,156,"41,955","70,446","90,657","67,095",Eastside Elementary
Shasta,REDDING ELEMENTARY,156,"43,053","62,346","79,105","61,563",Redding Elementary
Los Angeles,EL SEGUNDO UNIFIED,156.15,"41,404","75,767","91,626","73,105",El Segundo Unified
San Joaquin,LAMMERSVILLE JOINT UNIFIED,157,"42,004","56,741","81,401","61,913",Lammersville Joint Unified
San Mateo,SAN CARLOS ELEMENTARY,158.9,"48,171","76,469","91,462","71,191",San Carlos Elementary
Santa Clara,LOS GATOS UNION ELEMENTARY,159.2,"53,191","85,798","101,892","80,946",Los Gatos Union Elementary
Kern,WASCO UNION ELEMENTARY,159.5,"42,948","63,780","77,507","63,399",Wasco Union Elementary
San Mateo,CABRILLO UNIFIED,161.3,"46,822","67,851","85,671","68,163",Cabrillo Unified
Kern,SOUTHERN KERN UNIFIED,163,"40,905","64,157","82,038","65,806",Southern Kern Unified
Imperial,BRAWLEY ELEMENTARY,164,"46,662","81,787","109,188","78,158",Brawley Elementary
Kings,CORCORAN JOINT UNIFIED,165,"47,439","65,618","88,255","66,390",Corcoran Joint Unified
San Diego,CORONADO UNIFIED,166,"40,000","67,131","89,600","67,100",Coronado Unified
Monterey,CARMEL UNIFIED,168.7,"56,826","98,620","116,708","88,905",Carmel Unified
Fresno,PARLIER UNIFIED,169,"35,247","57,024","71,520","57,622",Parlier Unified
Amador,AMADOR COUNTY UNIFIED,169.01,"41,893","64,807","79,531","60,376",Amador County Unified
El Dorado,RESCUE UNION ELEMENTARY,169.33,"47,408","73,286","88,497","67,782",Rescue Union Elementary
San Bernardino,RIM OF THE WORLD UNIFIED,170.1,"40,543","68,258","84,524","65,158",Rim Of The World Unified
Los Angeles,SAN MARINO UNIFIED,171.27,"48,837","78,057","97,027","69,937",San Marino Unified
San Diego,LEMON GROVE ELEMENTARY,171.4,"42,392","72,128","92,504","67,500",Lemon Grove Elementary
Orange,CYPRESS ELEMENTARY,173.18,"46,010","81,725","99,721","74,833",Cypress Elementary
Contra Costa,LAFAYETTE ELEMENTARY,173.57,"45,184","71,828","88,183","66,357",Lafayette Elementary
Santa Clara,LOS GATOS-SARATOGA JOINT UN HIGH,174.59,"62,442","102,240","123,839","95,642",Los Gatos-Saratoga Joint Un High
Solano,DIXON UNIFIED,174.69,"38,903","65,325","79,285","59,262",Dixon Unified
Los Angeles,DUARTE UNIFIED,174.8,"46,759","71,644","91,330","67,616",Duarte Unified
Alameda,PIEDMONT CITY UNIFIED,174.95,"45,995","75,836","91,481","69,250",Piedmont City Unified
Imperial,IMPERIAL UNIFIED,175,"50,393","79,628","95,174","81,039",Imperial Unified
Ventura,FILLMORE UNIFIED,176.4,"40,582","67,525","86,404","65,172",Fillmore Unified
Contra Costa,WALNUT CREEK ELEMENTARY,177.28,"46,595","75,458","88,326","69,148",Walnut Creek Elementary
San Mateo,BURLINGAME ELEMENTARY,178.29,"44,517","71,605","88,644","74,159",Burlingame Elementary
Marin,MILL VALLEY ELEMENTARY,180.36,"52,475","81,111","95,610","79,788",Mill Valley Elementary
Los Angeles,BASSETT UNIFIED,183,"42,576","77,455","85,391","70,034",Bassett Unified
San Mateo,MENLO PARK CITY ELEMENTARY,183.24,"58,207","100,890","115,437","94,237",Menlo Park City Elementary
Kern,MCFARLAND UNIFIED,185,"43,717","64,427","81,905","64,334",Mcfarland Unified
Kern,RICHLAND UNION ELEMENTARY,186,"43,166","67,857","88,349","69,388",Richland Union Elementary
Shasta,ENTERPRISE ELEMENTARY,186.15,"37,607","63,281","77,744","62,929",Enterprise Elementary
Placer,PLACER UNION HIGH,186.45,"39,791","68,116","84,887","61,696",Placer Union High
Santa Barbara,ORCUTT UNION ELEMENTARY,188.8,"41,896","75,999","88,250","66,665",Orcutt Union Elementary
Humboldt,EUREKA CITY UNIFIED,189.62,"38,650","62,499","77,102","54,487",Eureka City Unified
Ventura,OAK PARK UNIFIED,191.47,"45,706","77,089","99,837","72,281",Oak Park Unified
San Mateo,BELMONT-REDWOOD SHORES ELEMENTARY,194.72,"50,745","76,147","96,617","74,804",Belmont-Redwood Shores Elementary
Sacramento,GALT JOINT UNION ELEMENTARY,195.3,"40,749","72,669","84,274","65,241",Galt Joint Union Elementary
Kern,DELANO JOINT UNION HIGH,196,"35,372","63,052","90,535","62,255",Delano Joint Union High
Tulare,LINDSAY UNIFIED,197.33,"46,013","66,595","92,073","65,576",Lindsay Unified
Tulare,BURTON ELEMENTARY,198.09,"46,817","63,685","87,870","65,213",Burton Elementary
Butte,PARADISE UNIFIED,198.72,"35,370","60,890","79,000","53,200",Paradise Unified
Sacramento,CENTER JOINT UNIFIED,201.3,"38,236","72,010","80,532","63,000",Center Joint Unified
San Diego,SOLANA BEACH ELEMENTARY,201.89,"48,104","80,052","104,168","77,121",Solana Beach Elementary
Kern,TEHACHAPI UNIFIED,202.3,"34,954","63,164","70,546","62,172",Tehachapi Unified
El Dorado,LAKE TAHOE UNIFIED,202.8,"44,098","70,298","93,919","67,393",Lake Tahoe Unified
Sonoma,RINCON VALLEY UNION ELEMENTARY,203.3,"46,656","64,433","81,183","63,920",Rincon Valley Union Elementary
Los Angeles,LA CANADA UNIFIED,204,"47,429","75,116","90,720","74,432",La Canada Unified
Imperial,CENTRAL UNION HIGH,204.4,"45,288","77,415","104,276","76,388",Central Union High
Orange,CENTRALIA ELEMENTARY,205.6,"44,019","85,282","103,834","83,088",Centralia Elementary
