county,school_district,full_time_teachers,lowest_salary_offered,average_salary,highest_salary_offered,step_10_salary,school
Kern,GENERAL SHAFTER ELEMENTARY,9,"38,451","57,706","79,212","60,798",General Shafter Elementary
Stanislaus,GRATTON ELEMENTARY,9,"42,078","52,274","74,680","53,349",Gratton Elementary
Kern,MIDWAY ELEMENTARY,9,"40,656","66,450","80,499","66,959",Midway Elementary
Inyo,OWENS VALLEY UNIFIED,9,"41,681","63,651","87,483","68,738",Owens Valley Unified
Sutter,PLEASANT GROVE JOINT UN ELEMENTARY,9,"41,872","56,899","74,970","54,940",Pleasant Grove Joint Un Elementary
Lassen,RICHMOND ELEMENTARY,9,"41,780","49,727","58,460","58,460",Richmond Elementary
Monterey,SAN ANTONIO UNION ELEMENTARY,9,"41,695","54,168","71,459","51,436",San Antonio Union Elementary
Shasta,SHASTA UNION ELEMENTARY,9,"36,771","48,443","60,250","51,325",Shasta Union Elementary
Inyo,ROUND VALLEY JOINT ELEMENTARY,9.29,"34,731","55,866","82,896","61,653",Round Valley Joint Elementary
Nevada,CHICAGO PARK ELEMENTARY,9.57,"39,168","54,160","71,851","53,060",Chicago Park Elementary
Alpine,ALPINE COUNTY UNIFIED,9.8,"43,800","61,038","72,543","55,533",Alpine County Unified
Fresno,ALVINA ELEMENTARY,10,"35,360","44,078","56,380","42,836",Alvina Elementary
Tulare,BUENA VISTA ELEMENTARY,10,"41,076","56,496","68,988","58,038",Buena Vista Elementary
Tulare,DUCOR UNION ELEMENTARY,10,"39,868","51,810","69,649","55,068",Ducor Union Elementary
Kern,ELK HILLS ELEMENTARY,10,"42,903","51,936","71,887","55,921",Elk Hills Elementary
Tulare,HOPE ELEMENTARY,10,"42,185","52,417","77,867","59,247",Hope Elementary
Lassen,WESTWOOD UNIFIED,10,"38,651","51,923","67,682","54,261",Westwood Unified
Trinity,DOUGLAS CITY ELEMENTARY,10.41,"35,026","52,394","62,678","54,835",Douglas City Elementary
Lassen,JOHNSTONVILLE ELEMENTARY,10.49,"34,577","51,116","71,501","53,164",Johnstonville Elementary
Trinity,SOUTHERN TRINITY JOINT UNIFIED,10.5,"30,977","54,985","64,220","54,547",Southern Trinity Joint Unified
Marin,BOLINAS-STINSON UNION ELEMENTARY,10.55,"51,163","81,153","100,233","76,104",Bolinas-Stinson Union Elementary
Humboldt,BLUE LAKE UNION ELEMENTARY,10.6,"39,619","56,446","65,768","56,655",Blue Lake Union Elementary
San Joaquin,NEW JERUSALEM ELEMENTARY,10.97,"42,885","58,398","76,417","62,429",New Jerusalem Elementary
Sutter,MARCUM-ILLINOIS UNION ELEMENTARY,11,"38,255","46,594","70,601","47,865",Marcum-Illinois Union Elementary
Kern,SOUTH FORK UNION ELEMENTARY,11,"39,484","62,161","69,443","56,503",South Fork Union Elementary
Santa Barbara,VISTA DEL MAR UNION ELEMENTARY,11.1,"44,797","71,997","86,148","66,047",Vista Del Mar Union Elementary
Mono,MONO COUNTY OFFICE OF ED.,11.41,"38,515","63,369","82,296","64,207",Mono County Office Of Ed.
San Diego,JULIAN UNION HIGH,11.5,"49,730","85,966","95,333","79,536",Julian Union High
Tulare,TRAVER JOINT ELEMENTARY,11.5,"45,171","62,015","75,445","59,945",Traver Joint Elementary
Modoc,SURPRISE VALLEY JOINT UNIFIED,11.57,"35,700","45,421","55,749","47,114",Surprise Valley Joint Unified
Shasta,BLACK BUTTE UNION ELEMENTARY,11.6,"39,205","58,629","67,890","53,546",Black Butte Union Elementary
Fresno,CLAY JOINT ELEMENTARY,12,"42,822","65,105","67,754","62,044",Clay Joint Elementary
Mendocino,LEGGETT VALLEY UNIFIED,12,"38,042","49,375","63,041","49,375",Leggett Valley Unified
Modoc,MODOC COUNTY OFFICE OF ED.,12,"35,834","54,588","77,841","57,643",Modoc County Office Of Ed.
Tulare,WAUKENA JOINT UNION ELEMENTARY,12,"42,000","47,830","63,676","51,198",Waukena Joint Union Elementary
Fresno,WESTSIDE ELEMENTARY,12,"34,507","54,674","62,953","52,457",Westside Elementary
Sonoma,WILMAR UNION ELEMENTARY,12,"46,644","60,238","76,385","60,799",Wilmar Union Elementary
Humboldt,SCOTIA UNION ELEMENTARY,12.2,"34,000","58,288","61,236","52,812",Scotia Union Elementary
Tehama,RICHFIELD ELEMENTARY,12.9,"39,555","57,389","72,132","52,172",Richfield Elementary
Lassen,BIG VALLEY JOINT UNIFIED,13,"32,677","47,433","66,351","49,372",Big Valley Joint Unified
Tulare,SEQUOIA UNION ELEMENTARY,13,"42,385","59,433","71,091","56,484",Sequoia Union Elementary
Lassen,FORT SAGE UNIFIED,13.34,"29,640","47,051","64,215","49,156",Fort Sage Unified
Ventura,SOMIS UNION ELEMENTARY,13.5,"41,916","63,118","78,014","65,775",Somis Union Elementary
Nevada,NEVADA COUNTY OFFICE OF ED.,13.9,"45,456","64,240","80,980","61,771",Nevada County Office Of Ed.
San Joaquin,NEW HOPE ELEMENTARY,13.9,"35,569","51,362","71,801","52,381",New Hope Elementary
Lassen,JANESVILLE UNION ELEMENTARY,14,"32,082","69,545","81,520","55,511",Janesville Union Elementary
Fresno,RAISIN CITY ELEMENTARY,14,"39,355","51,363","69,942","54,979",Raisin City Elementary
Inyo,BIG PINE UNIFIED,14.53,"37,248","62,696","79,787","62,737",Big Pine Unified
Sacramento,ELVERTA JOINT ELEMENTARY,14.71,"41,770","57,771","75,181","57,817",Elverta Joint Elementary
Siskiyou,WEED UNION ELEMENTARY,14.75,"41,665","53,172","65,890","55,655",Weed Union Elementary
Lake,LUCERNE ELEMENTARY,15,"41,720","55,741","70,211","59,381",Lucerne Elementary
Marin,SAUSALITO-MARIN CITY ELEMENTARY,15,"49,727","76,194","94,523","77,875",Sausalito-Marin City Elementary
Tulare,SPRINGVILLE UNION ELEMENTARY,15,"41,598","61,391","77,640","58,890",Springville Union Elementary
San Luis Obispo,CAYUCOS ELEMENTARY,15.55,"42,654","66,591","89,570","67,243",Cayucos Elementary
Kings,LAKESIDE UNION ELEMENTARY,16,"39,993","51,198","78,008","55,360",Lakeside Union Elementary
Tuolumne,TWAIN HARTE-LONG BARN UN ELEMENTARY,16,"50,854","74,281","90,439","65,331",Twain Harte-Long Barn Un Elementary
Santa Barbara,CUYAMA JOINT UNIFIED,16.5,"42,068","59,353","76,526","62,750",Cuyama Joint Unified
San Joaquin,BANTA ELEMENTARY,16.91,"45,654","65,954","79,593","63,810",Banta Elementary
Mariposa,MARIPOSA COUNTY OFFICE OF ED.,16.95,"36,454","58,919","69,787","56,205",Mariposa County Office Of Ed.
Placer,FORESTHILL UNION ELEMENTARY,17.4,"45,293","64,693","72,050","59,570",Foresthill Union Elementary
Tulare,SUNNYSIDE UNION ELEMENTARY,17.4,"41,122","58,632","76,839","58,775",Sunnyside Union Elementary
Tulare,ROCKFORD ELEMENTARY,17.6,"41,869","58,498","74,701","63,431",Rockford Elementary
Sacramento,ARCOHE UNION ELEMENTARY,17.9,"40,168","67,400","71,287","60,024",Arcohe Union Elementary
Madera,ALVIEW-DAIRYLAND UNION ELEMENTARY,18,"38,295","56,523","69,402","52,895",Alview-Dairyland Union Elementary
Tulare,LIBERTY ELEMENTARY,18,"41,315","54,807","71,657","56,256",Liberty Elementary
Imperial,SEELEY UNION ELEMENTARY,18,"45,812","69,740","83,816","66,037",Seeley Union Elementary
San Bernardino,TRONA JOINT UNIFIED,18,"43,274","70,916","83,949","67,311",Trona Joint Unified
San Joaquin,OAK VIEW UNION ELEMENTARY,18.13,"36,792","65,955","80,362","59,211",Oak View Union Elementary
Humboldt,FRESHWATER ELEMENTARY,18.34,"37,521","58,912","69,092","54,680",Freshwater Elementary
Merced,BALLICO-CRESSEY ELEMENTARY,19,"33,418","52,432","68,540","52,466",Ballico-Cressey Elementary
Sutter,FRANKLIN ELEMENTARY,19,"42,333","72,491","83,032","63,914",Franklin Elementary
Merced,LE GRAND UNION ELEMENTARY,19,"42,293","62,688","73,966","61,545",Le Grand Union Elementary
Tulare,MONSON-SULTANA JOINT UN ELEMENTARY,19,"44,133","68,352","78,988","59,042",Monson-Sultana Joint Un Elementary
Tehama,TEHAMA COUNTY OFFICE OF ED.,19,"41,558","62,701","79,455","66,536",Tehama County Office Of Ed.
